OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1290",Trail,Neuse Crossing Connector,Existing,NA,Concrete,0.011986133759195,10.000000000000000,,,Neuse River Trail,COR,,OPEN,"395",{E158C805-5DD3-43D5-8EBB-0F2AC753562F},0.000176897189620
"1291",Structure,Neuse Crossing Connector,Existing,"295",Concrete,0.009465569491157,12.000000000000000,Bridge,,Neuse River Trail,COR,YES,OPEN,"395",{17DB6159-2309-4447-A17B-41856C72B603},0.000150284714832
"1292",Trail,Neuse Crossing Connector,Existing,NA,Concrete,0.076614640542894,10.000000000000000,,,Neuse River Trail,COR,,CLOSED_TEMP,"395",{C1AB63AF-2CEE-4259-AA9F-E2A603DF4E5B},0.001245627636044
"1293",Trail,Neuse Crossing Connector,Existing,NA,Asphalt,0.085574695147362,9.000000000000000,,,Neuse River Trail,COR,,CLOSED_TEMP,"395",{8B5377F1-D201-476C-B2DF-99A03907B45D},0.001355681398542
"1296",Trail,Neuse Crossing Connector,Existing,NA,Concrete,0.003577625623722,10.000000000000000,,,Neuse River Trail,COR,,CLOSED_TEMP,"395",{ACFD0E3E-049A-4671-890D-983889E11E70},0.000057532388152
"1298",Structure,Southeast Raleigh YMCA Greenway Connector,Existing,"97",Wood Decking,0.016283905135589,10.000000000000000,Bridge,5.000000000000000,Walnut Creek Trail,COR,YES,OPEN,"396",{2DA85454-4408-4817-A6EF-CF7B254A9FF4},0.000285566628956
"1299",Trail,Southeast Raleigh YMCA Greenway Connector,Existing,NA,Asphalt,0.022338345711782,10.000000000000000,,,Walnut Creek Trail,COR,YES,OPEN,"396",{035957C8-006A-4AFC-A744-49EA55025039},0.000390362733982
"1300",Trail,Southeast Raleigh YMCA Greenway Connector,Existing,NA,Asphalt,0.011708539378128,10.000000000000000,,,Walnut Creek Trail,COR,YES,OPEN,"396",{1EA35B1D-8204-4854-BB0E-0C3DB880DE38},0.000207022709043
"1302",Trail,Southeast Raleigh YMCA Greenway Connector,Existing,NA,Concrete,0.006599626738288,10.000000000000000,,,Walnut Creek Trail,COR,YES,OPEN,"396",{BE4C35D0-BF8F-462C-8288-12B06E2D1637},0.000115781832981
"1304",Trail,Southeast Raleigh YMCA Greenway Connector,Existing,NA,Concrete,0.003813540398194,10.000000000000000,,,Walnut Creek Trail,COR,YES,OPEN,"396",{9A982A19-DD58-4E12-B79F-9C849C33D182},0.000067051376039
"1306",Trail,Shelley Lake Segment,Existing,NA,Asphalt,0.377078430000000,8.000000000000000,NA,0.000000000000000,Mine Creek Trail,COR,NO,OPEN,"355",{49CF083D-DCB2-4B7A-8C62-6083FF446F7E},0.002492851880742
"1308",Structure,House Creek Trail,Existing,"305",Wood Decking,0.007711680000000,4.000000000000000,NA,,House Creek Trail,COR,,OPEN,"182",{FF3B5A47-05DE-4800-9E9C-CF72D1FF5C92},0.000129094889156
"1309",Structure,House Creek Trail,Existing,"306",Wood Decking,0.003034360000000,3.000000000000000,,,House Creek Trail,COR,,OPEN,"182",{02A22D2E-1781-4C4B-B573-0EED72805A79},0.000046681234598
"1310",Structure,House Creek Trail,Existing,"307",Wood Decking,0.009500580000000,3.000000000000000,,,,COR,,OPEN,"182",{6FA42F15-4F88-451B-97D7-C809CC202033},0.000144232449186
"1311",Structure,House Creek Trail,Existing,"308",Wood Decking,0.003389760000000,4.000000000000000,,,House Creek Trail,COR,,OPEN,"179",{22BD1406-1990-4725-8A72-2F4C6B7F6C29},0.000059043470798
"1312",Structure,House Creek Trail,Existing,"309",Wood Decking,0.003101980000000,4.000000000000000,,,House Creek Trail,COR,,OPEN,"182",{D6C62D08-E77A-4B20-8730-3C113DBD4436},0.000048130343110
"1313",Structure,House Creek Trail,Existing,"305",Wood Decking,0.007711680000000,4.000000000000000,NA,,House Creek Trail,COR,,OPEN,"182",{4183BBED-4A47-46F1-9EAF-B839E143314B},0.000129094889156
"1314",Structure,House Creek Trail,Existing,"306",Wood Decking,0.003034360000000,3.000000000000000,,,House Creek Trail,COR,,OPEN,"182",{41D9EDB6-05D6-4F4B-9B64-75907051013D},0.000046681234598
"1315",Structure,House Creek Trail,Existing,"307",Wood Decking,0.009500580000000,3.000000000000000,,,,COR,,OPEN,"182",{ED3E1618-4950-4683-9E23-485D25031E82},0.000144232449186
"1316",Structure,House Creek Trail,Existing,"308",Wood Decking,0.003389760000000,4.000000000000000,,,House Creek Trail,COR,,OPEN,"179",{6A016BB1-AE36-4A6A-9E85-CD26B918F477},0.000059043470798
